activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,loan_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,co_applicant_race_1,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,denial_reason_1,denial_reason_2,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,debt_to_income_ratio_parsed,applicant_age_num,rate_spread_missing_flag,approved_flag
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9190,9190210701,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,3,0,2,1,31,2,2,1,2,105000,79.41,9.09,0.87,3,360,1.0,2,2,2,2,455000.0,1,1,3,5,1,86.0,50%-60%,12,10,1.0,5.0,2,4,3.0,8.0,1,4,1,5,1,4,35-44,__MISSING__,No,__MISSING__,1,1,6,3,3.0,5877,80.84,146500,40.0,554,1715,67,55.0,40.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,35300,CT,9170,9170194101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,85000,44.37,12.59,4.31,2,360,1.0,2,1,2,2,695000.0,1,1,3,5,1,124.0,42,12,12,2.0,2.0,2,2,5.0,5.0,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,6,10,3.0,2045,6.26,116200,132.0,834,1455,59,42.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,99999,PA,42107,42107000700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,2,25000,35.0,9.09,0.87,3,360,1.0,2,2,2,2,85000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,>74,__MISSING__,Yes,__MISSING__,1,1,6,3,3.0,3364,12.13,81400,107.0,1338,1974,0,41.0,80.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,29540,PA,42071,42071014501,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,125000,50.55,9.34,1.17,2,360,1.0,2,1,2,2,865000.0,1,1,3,5,1,113.0,47,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,55-64,55-64,Yes,No,1,1,6,10,3.0,5221,7.03,106700,107.0,1600,1891,34,47.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,99999,PA,42057,42057960300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,2,1,2,55000,22.22,10.09,1.99,2,360,1.0,2,1,2,2,225000.0,1,1,3,5,1,34.0,20%-<30%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,10,3.0,4692,5.58,81400,112.0,1514,2130,41,25.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110514300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,2,2,1,2,15000,40.64,9.09,0.87,3,360,1.0,2,2,2,2,275000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,2,4,3.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,3,3.0,4363,40.48,123800,93.0,1241,1587,71,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,11694,VA,51059,51059470300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,2,1,4,2,2,1,2,455000,63.16,9.56,1.39,2,360,1.0,2,1,2,2,1465000.0,1,1,3,5,1,352.0,39,12,12,2.0,2.0,2,2,2.0,5.0,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,10,3.0,3418,25.16,164200,184.0,990,1121,50,39.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110476100,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,1,2,355000,95.84,9.09,0.87,3,360,1.0,2,2,2,2,425000.0,1,1,3,5,1,67.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,4734,31.14,123800,90.0,1464,1789,56,55.0,60.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,20100,DE,10001,10001042802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,45000,68.55,12.14,3.88,2,360,1.0,2,1,2,2,255000.0,1,1,3,5,1,99.0,49,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,25-34,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5612,30.2,91300,121.0,1620,2330,28,49.0,30.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,33874,PA,42017,42017104505,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,2,2,1,2,325000,79.14,9.49,1.21,2,360,1.0,2,1,2,2,875000.0,1,1,3,5,1,379.0,20%-<30%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,55-64,55-64,No,No,1,1,6,10,3.0,5684,11.98,143700,144.0,1849,1903,26,25.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9120,9120081200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,2,2,1,2,55000,24.26,10.59,2.34,2,360,1.0,2,1,2,2,415000.0,1,1,3,5,1,80.0,37,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5247,29.79,146500,116.0,1794,2031,64,37.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24013,24013506101,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,1,2,55000,68.28,12.49,4.32,2,360,1.0,2,2,2,2,475000.0,1,1,3,5,1,112.0,42,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,10,3.0,4732,11.67,122200,105.0,1602,1717,35,42.0,40.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,40380,NY,36073,36073401300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,31,1,2,1,2,105000,57.14,9.34,1.23,2,360,1.0,2,1,2,2,175000.0,1,1,3,5,1,55.0,30%-<36%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,10,3.0,4564,11.61,98700,99.0,1672,2246,60,33.0,80.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,15764,MA,25009,25009217402,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,2,2,1,2,305000,47.75,9.09,0.87,3,360,1.0,2,2,2,2,895000.0,1,1,3,5,1,49.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,9,1.0,3409,16.93,146600,55.0,845,776,75,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,14860,CT,9190,9190043900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,1,2,155000,78.23,11.09,2.92,2,360,1.0,2,1,2,2,525000.0,1,1,3,5,1,123.0,39,12,12,1.0,1.0,2,2,5.0,5.0,2,2,2,1,2,2,45-54,55-64,No,No,1,1,6,10,3.0,5456,47.36,146500,74.0,1602,1896,57,39.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,13780,NY,36007,36007000700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,15000,41.43,9.09,0.87,3,360,1.0,2,2,2,2,125000.0,1,1,3,5,1,99.0,__MISSING__,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,3,3.0,3501,21.31,88700,58.0,966,1398,79,41.0,50.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110535200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,245000,85.1,9.09,0.87,3,360,1.0,2,2,2,2,505000.0,1,1,3,5,1,39.0,>60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,1,3.0,6740,18.84,123800,119.0,2055,2483,47,41.0,70.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,25540,CT,9110,9110430603,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,4,2,2,1,2,105000,72.97,9.49,1.21,2,360,1.0,2,1,2,2,435000.0,1,1,3,5,1,81.0,41,12,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,>74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,2170,24.65,123800,119.0,559,671,46,41.0,80.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24013,24013513002,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,1,2,105000,54.43,9.56,1.31,2,360,1.0,2,1,2,2,785000.0,1,1,3,5,1,101.0,50%-60%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,55-64,__MISSING__,No,__MISSING__,1,1,6,10,3.0,5731,18.72,122200,144.0,1574,1824,27,55.0,60.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,29540,PA,42071,42071012602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,2,1,2,105000,20.41,9.09,0.87,3,360,1.0,2,2,2,2,495000.0,1,1,3,5,1,55.0,30%-<36%,12,12,2.0,2.0,2,2,5.0,5.0,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,4,3.0,4609,4.45,106700,103.0,1112,1484,38,33.0,80.0,1,0
2024,WWB2V0FCW3A0EE3ZJN75,48864,DE,10003,10003013613,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,31,1,2,1,2,205000,52.22,8.84,0.59,2,360,1.0,2,1,2,2,385000.0,1,1,3,5,1,81.0,42,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,65-74,__MISSING__,Yes,__MISSING__,1,1,6,10,3.0,5657,23.39,111300,159.0,1601,1805,45,42.0,70.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,12580,MD,24510,24510270401,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,4,2,2,1,2,55000,56.56,12.89,4.72,2,360,1.0,2,1,2,2,175000.0,1,1,3,5,1,78.0,30%-<36%,12,10,2.0,5.0,2,4,5.0,8.0,2,4,2,5,2,4,45-54,__MISSING__,No,__MISSING__,1,1,6,10,3.0,4870,80.97,122200,76.0,1311,1749,68,33.0,50.0,0,1
2024,WWB2V0FCW3A0EE3ZJN75,40380,NY,36055,36055014906,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,25000,83.84,9.09,0.87,3,360,1.0,2,2,2,2,195000.0,1,1,3,5,1,96.0,30%-<36%,8,10,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,35-44,__MISSING__,No,__MISSING__,1,1,6,3,3.0,3917,11.16,98700,93.0,1049,1241,40,33.0,40.0,1,0
